beta,y2,curvature,n_mc,n_valid,n_fail,p_reconciled_better
-0.3,0.81,0.2584940487525062,1000,1000,0,0.96
-0.3,-0.15,0.26990161189766443,1000,1000,0,0.957
-0.3,0.15,0.26990161189766443,1000,1000,0,0.968
-0.3,-0.8,0.2846469228206227,1000,1000,0,0.965
-0.3,0.8,0.2846469228206227,1000,1000,0,0.972
-0.3,-0.16,0.30703513964035173,1000,1000,0,0.964
-0.3,0.16,0.30703513964035173,1000,1000,0,0.964
-0.3,-0.79,0.3132740478451049,1000,1000,0,0.967
-0.3,0.79,0.3132740478451049,1000,1000,0,0.962
-0.3,-0.78,0.3445497727768891,1000,1000,0,0.966
-0.3,0.78,0.3445497727768891,1000,1000,0,0.948
-0.3,-0.17,0.34653228601140323,1000,1000,0,0.968
-0.3,0.17,0.34653228601140323,1000,1000,0,0.964
-0.3,-0.77,0.37864564531931555,1000,1000,0,0.961
-0.3,0.77,0.37864564531931555,1000,1000,0,0.971
-0.3,-0.18,0.38837717869141103,1000,1000,0,0.954
-0.3,0.18,0.38837717869141103,1000,1000,0,0.951
-0.3,-0.76,0.41572617387825983,1000,1000,0,0.965
-0.3,0.76,0.41572617387825983,1000,1000,0,0.962
-0.3,-0.19,0.43254856680543297,1000,1000,0,0.971
-0.3,0.19,0.43254856680543297,1000,1000,0,0.945
-0.3,-0.75,0.4559437243938262,1000,1000,0,0.97
-0.3,0.75,0.4559437243938262,1000,1000,0,0.965
-0.3,-0.2,0.47901846789049146,1000,1000,0,0.949
-0.3,0.2,0.47901846789049146,1000,1000,0,0.966
-0.3,-0.74,0.4994325153921041,1000,1000,0,0.953
-0.3,0.74,0.4994325153921041,1000,1000,0,0.957
-0.3,-0.21,0.5277505863365177,1000,1000,0,0.962
-0.3,0.21,0.5277505863365177,1000,1000,0,0.965
-0.3,-0.73,0.5463017123971913,1000,1000,0,0.96
-0.3,0.73,0.5463017123971913,1000,1000,0,0.972
-0.3,-0.22,0.5786984866487767,1000,1000,0,0.951
-0.3,0.22,0.5786984866487767,1000,1000,0,0.966
-0.3,-0.72,0.5966276740357311,1000,1000,0,0.965
-0.3,0.72,0.5966276740357311,1000,1000,0,0.958
-0.3,-0.23,0.6318035084817841,1000,1000,0,0.96
-0.3,0.23,0.6318035084817841,1000,1000,0,0.963
-0.3,-0.71,0.6504454674471667,1000,1000,0,0.953
-0.3,0.71,0.6504454674471667,1000,1000,0,0.964
-0.3,-0.24,0.6869924157200895,1000,1000,0,0.962
-0.3,0.24,0.6869924157200895,1000,1000,0,0.963
-0.3,-0.7,0.7077398494427007,1000,1000,0,0.957
-0.3,0.7,0.7077398494427007,1000,1000,0,0.948
-0.3,-0.25,0.744174779330497,1000,1000,0,0.959
-0.3,0.25,0.744174779330497,1000,1000,0,0.964
-0.3,-0.69,0.7684359999585705,1000,1000,0,0.951
-0.3,0.69,0.7684359999585705,1000,1000,0,0.959
-0.3,-0.26,0.8032401037160283,1000,1000,0,0.971
-0.3,0.26,0.8032401037160283,1000,1000,0,0.961
-0.3,-0.68,0.8323903912442425,1000,1000,0,0.953
-0.3,0.68,0.8323903912442425,1000,1000,0,0.958
-0.3,-0.27,0.864054719305603,1000,1000,0,0.966
-0.3,0.27,0.864054719305603,1000,1000,0,0.97
-0.3,-0.67,0.8993822728906978,1000,1000,0,0.964
-0.3,0.67,0.8993822728906978,1000,1000,0,0.951
