rho,gamma,m,alpha,beta,n_true,n_valid,n_fail,p_reconciled_better
-0.4,0.5,0.0,-25.0,-10.0,1000,1000,0,0.996
-0.4,0.5,0.0,-25.0,0.0,1000,1000,0,0.999
-0.4,0.5,0.0,-25.0,10.0,1000,1000,0,0.995
-0.4,0.5,0.0,-25.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.0,0.0,-25.0,1000,1000,0,1.0
-0.4,0.5,0.0,0.0,-10.0,1000,1000,0,0.997
-0.4,0.5,0.0,0.0,0.0,1000,1000,0,0.999
-0.4,0.5,0.0,0.0,10.0,1000,1000,0,1.0
-0.4,0.5,0.0,0.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.0,25.0,-25.0,1000,1000,0,0.999
-0.4,0.5,0.0,25.0,-10.0,1000,1000,0,0.998
-0.4,0.5,0.0,25.0,0.0,1000,1000,0,0.993
-0.4,0.5,0.0,25.0,10.0,1000,1000,0,0.989
-0.4,0.5,0.0,25.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.0,50.0,-25.0,1000,1000,0,0.999
-0.4,0.5,0.0,50.0,-10.0,1000,1000,0,0.991
-0.4,0.5,0.0,50.0,0.0,1000,1000,0,0.983
-0.4,0.5,0.0,50.0,10.0,1000,1000,0,0.987
-0.4,0.5,0.0,50.0,25.0,1000,1000,0,0.999
0.0,0.5,0.0,-50.0,-25.0,1000,1000,0,1.0
0.0,0.5,0.0,-50.0,-10.0,1000,1000,0,0.991
0.0,0.5,0.0,-50.0,0.0,1000,1000,0,0.985
0.0,0.5,0.0,-50.0,10.0,1000,1000,0,0.985
0.0,0.5,0.0,-50.0,25.0,1000,1000,0,1.0
0.0,0.5,0.0,-25.0,-25.0,1000,1000,0,1.0
0.0,0.5,0.0,-25.0,-10.0,1000,1000,0,0.996
0.0,0.5,0.0,-25.0,0.0,1000,1000,0,0.988
0.0,0.5,0.0,-25.0,10.0,1000,1000,0,0.997
0.0,0.5,0.0,-25.0,25.0,1000,1000,0,1.0
0.0,0.5,0.0,0.0,-25.0,1000,1000,0,1.0
0.0,0.5,0.0,0.0,-10.0,1000,1000,0,0.999
0.0,0.5,0.0,0.0,0.0,1000,1000,0,1.0
0.0,0.5,0.0,0.0,10.0,1000,1000,0,1.0
0.0,0.5,0.0,0.0,25.0,1000,1000,0,1.0
0.0,0.5,0.0,25.0,-25.0,1000,1000,0,0.999
0.0,0.5,0.0,25.0,-10.0,1000,1000,0,0.997
0.0,0.5,0.0,25.0,0.0,1000,1000,0,0.998
0.0,0.5,0.0,25.0,10.0,1000,1000,0,0.997
0.0,0.5,0.0,25.0,25.0,1000,1000,0,1.0
0.0,0.5,0.0,50.0,-25.0,1000,1000,0,1.0
0.0,0.5,0.0,50.0,-10.0,1000,1000,0,0.989
0.0,0.5,0.0,50.0,0.0,1000,1000,0,0.987
0.0,0.5,0.0,50.0,10.0,1000,1000,0,0.993
0.0,0.5,0.0,50.0,25.0,1000,1000,0,1.0
0.4,0.5,0.0,-50.0,-25.0,1000,1000,0,1.0
0.4,0.5,0.0,-50.0,-10.0,1000,1000,0,0.99
0.4,0.5,0.0,-50.0,0.0,1000,1000,0,0.985
0.4,0.5,0.0,-50.0,10.0,1000,1000,0,0.989
0.4,0.5,0.0,-50.0,25.0,1000,1000,0,0.999
0.4,0.5,0.0,-25.0,-25.0,1000,1000,0,1.0
0.4,0.5,0.0,-25.0,-10.0,1000,1000,0,0.995
0.4,0.5,0.0,-25.0,0.0,1000,1000,0,0.994
0.4,0.5,0.0,-25.0,10.0,1000,1000,0,0.997
0.4,0.5,0.0,-25.0,25.0,1000,1000,0,1.0
0.4,0.5,0.0,0.0,-25.0,1000,1000,0,1.0
0.4,0.5,0.0,0.0,-10.0,1000,1000,0,1.0
0.4,0.5,0.0,0.0,0.0,1000,1000,0,0.999
0.4,0.5,0.0,0.0,10.0,1000,1000,0,1.0
0.4,0.5,0.0,0.0,25.0,1000,1000,0,1.0
0.4,0.5,0.0,25.0,-25.0,1000,1000,0,1.0
0.4,0.5,0.0,25.0,-10.0,1000,1000,0,0.999
0.4,0.5,0.0,25.0,0.0,1000,1000,0,0.989
0.4,0.5,0.0,25.0,10.0,1000,1000,0,0.996
0.4,0.5,0.0,25.0,25.0,1000,1000,0,1.0
0.4,0.5,0.0,50.0,-25.0,1000,1000,0,0.999
0.4,0.5,0.0,50.0,-10.0,1000,1000,0,0.993
0.4,0.5,0.0,50.0,0.0,1000,1000,0,0.988
0.4,0.5,0.0,50.0,10.0,1000,1000,0,0.993
0.4,0.5,0.0,50.0,25.0,1000,1000,0,0.999
0.8,0.5,0.0,-50.0,-25.0,1000,1000,0,0.999
0.8,0.5,0.0,-50.0,-10.0,1000,1000,0,0.997
0.8,0.5,0.0,-50.0,0.0,1000,1000,0,0.987
0.8,0.5,0.0,-50.0,10.0,1000,1000,0,0.993
0.8,0.5,0.0,-50.0,25.0,1000,1000,0,1.0
0.8,0.5,0.0,-25.0,-25.0,1000,1000,0,0.998
0.8,0.5,0.0,-25.0,-10.0,1000,1000,0,0.997
0.8,0.5,0.0,-25.0,0.0,1000,1000,0,0.997
0.8,0.5,0.0,-25.0,10.0,1000,1000,0,0.996
0.8,0.5,0.0,-25.0,25.0,1000,1000,0,1.0
0.8,0.5,0.0,0.0,-25.0,1000,1000,0,1.0
0.8,0.5,0.0,0.0,-10.0,1000,1000,0,1.0
0.8,0.5,0.0,0.0,0.0,1000,1000,0,0.999
0.8,0.5,0.0,0.0,10.0,1000,1000,0,1.0
0.8,0.5,0.0,0.0,25.0,1000,1000,0,1.0
0.8,0.5,0.0,25.0,-25.0,1000,1000,0,1.0
0.8,0.5,0.0,25.0,-10.0,1000,1000,0,0.995
0.8,0.5,0.0,25.0,0.0,1000,1000,0,0.996
0.8,0.5,0.0,25.0,10.0,1000,1000,0,0.996
0.8,0.5,0.0,25.0,25.0,1000,1000,0,1.0
0.8,0.5,0.0,50.0,-25.0,1000,1000,0,0.999
0.8,0.5,0.0,50.0,-10.0,1000,1000,0,0.993
0.8,0.5,0.0,50.0,0.0,1000,1000,0,0.982
0.8,0.5,0.0,50.0,10.0,1000,1000,0,0.991
0.8,0.5,0.0,50.0,25.0,1000,1000,0,1.0
-0.8,0.5,0.7853981633974483,-50.0,-25.0,1000,1000,0,0.995
-0.8,0.5,0.7853981633974483,-50.0,-10.0,1000,1000,0,0.93
-0.8,0.5,0.7853981633974483,-50.0,0.0,1000,1000,0,0.903
-0.8,0.5,0.7853981633974483,-50.0,10.0,1000,1000,0,0.943
-0.8,0.5,0.7853981633974483,-50.0,25.0,1000,1000,0,0.995
-0.8,0.5,0.7853981633974483,-25.0,-25.0,1000,1000,0,1.0
-0.8,0.5,0.7853981633974483,-25.0,-10.0,1000,1000,0,0.992
-0.8,0.5,0.7853981633974483,-25.0,0.0,1000,1000,0,0.984
-0.8,0.5,0.7853981633974483,-25.0,10.0,1000,1000,0,0.989
-0.8,0.5,0.7853981633974483,-25.0,25.0,1000,1000,0,0.999
-0.8,0.5,0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
-0.8,0.5,0.7853981633974483,0.0,-10.0,1000,1000,0,1.0
-0.8,0.5,0.7853981633974483,0.0,0.0,1000,1000,0,0.999
-0.8,0.5,0.7853981633974483,0.0,10.0,1000,1000,0,1.0
-0.8,0.5,0.7853981633974483,0.0,25.0,1000,1000,0,1.0
-0.8,0.5,0.7853981633974483,25.0,-25.0,1000,1000,0,0.999
-0.8,0.5,0.7853981633974483,25.0,-10.0,1000,1000,0,0.993
-0.8,0.5,0.7853981633974483,25.0,0.0,1000,1000,0,0.982
-0.8,0.5,0.7853981633974483,25.0,10.0,1000,1000,0,0.994
-0.8,0.5,0.7853981633974483,25.0,25.0,1000,1000,0,0.999
-0.8,0.5,0.7853981633974483,50.0,-25.0,1000,1000,0,0.998
-0.8,0.5,0.7853981633974483,50.0,-10.0,1000,1000,0,0.969
-0.8,0.5,0.7853981633974483,50.0,0.0,1000,1000,0,0.939
-0.8,0.5,0.7853981633974483,50.0,10.0,1000,1000,0,0.968
-0.8,0.5,0.7853981633974483,50.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.7853981633974483,-50.0,-25.0,1000,1000,0,0.998
-0.4,0.5,0.7853981633974483,-50.0,-10.0,1000,1000,0,0.93
-0.4,0.5,0.7853981633974483,-50.0,0.0,1000,1000,0,0.882
-0.4,0.5,0.7853981633974483,-50.0,10.0,1000,1000,0,0.953
-0.4,0.5,0.7853981633974483,-50.0,25.0,1000,1000,0,0.998
-0.4,0.5,0.7853981633974483,-25.0,-25.0,1000,1000,0,0.999
-0.4,0.5,0.7853981633974483,-25.0,-10.0,1000,1000,0,0.977
-0.4,0.5,0.7853981633974483,-25.0,0.0,1000,1000,0,0.973
-0.4,0.5,0.7853981633974483,-25.0,10.0,1000,1000,0,0.983
-0.4,0.5,0.7853981633974483,-25.0,25.0,1000,1000,0,0.999
-0.4,0.5,0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
-0.4,0.5,0.7853981633974483,0.0,-10.0,1000,1000,0,1.0
-0.4,0.5,0.7853981633974483,0.0,0.0,1000,1000,0,1.0
-0.4,0.5,0.7853981633974483,0.0,10.0,1000,1000,0,1.0
-0.4,0.5,0.7853981633974483,0.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.7853981633974483,25.0,-25.0,1000,1000,0,0.999
-0.4,0.5,0.7853981633974483,25.0,-10.0,1000,1000,0,0.994
-0.4,0.5,0.7853981633974483,25.0,0.0,1000,1000,0,0.982
-0.4,0.5,0.7853981633974483,25.0,10.0,1000,1000,0,0.994
-0.4,0.5,0.7853981633974483,25.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.7853981633974483,50.0,-25.0,1000,1000,0,0.997
-0.4,0.5,0.7853981633974483,50.0,-10.0,1000,1000,0,0.971
-0.4,0.5,0.7853981633974483,50.0,0.0,1000,1000,0,0.937
-0.4,0.5,0.7853981633974483,50.0,10.0,1000,1000,0,0.973
-0.4,0.5,0.7853981633974483,50.0,25.0,1000,1000,0,1.0
0.0,0.5,0.7853981633974483,-50.0,-25.0,1000,1000,0,0.996
0.0,0.5,0.7853981633974483,-50.0,-10.0,1000,1000,0,0.933
0.0,0.5,0.7853981633974483,-50.0,0.0,1000,1000,0,0.908
0.0,0.5,0.7853981633974483,-50.0,10.0,1000,1000,0,0.948
0.0,0.5,0.7853981633974483,-50.0,25.0,1000,1000,0,0.996
0.0,0.5,0.7853981633974483,-25.0,-25.0,1000,1000,0,1.0
0.0,0.5,0.7853981633974483,-25.0,-10.0,1000,1000,0,0.982
0.0,0.5,0.7853981633974483,-25.0,0.0,1000,1000,0,0.979
0.0,0.5,0.7853981633974483,-25.0,10.0,1000,1000,0,0.985
0.0,0.5,0.7853981633974483,-25.0,25.0,1000,1000,0,0.998
0.0,0.5,0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
0.0,0.5,0.7853981633974483,0.0,-10.0,1000,1000,0,1.0
0.0,0.5,0.7853981633974483,0.0,0.0,1000,1000,0,1.0
0.0,0.5,0.7853981633974483,0.0,10.0,1000,1000,0,1.0
0.0,0.5,0.7853981633974483,0.0,25.0,1000,1000,0,1.0
0.0,0.5,0.7853981633974483,25.0,-25.0,1000,1000,0,0.999
0.0,0.5,0.7853981633974483,25.0,-10.0,1000,1000,0,0.995
0.0,0.5,0.7853981633974483,25.0,0.0,1000,1000,0,0.987
0.0,0.5,0.7853981633974483,25.0,10.0,1000,1000,0,0.993
0.0,0.5,0.7853981633974483,25.0,25.0,1000,1000,0,0.999
0.0,0.5,0.7853981633974483,50.0,-25.0,1000,1000,0,0.994
0.0,0.5,0.7853981633974483,50.0,-10.0,1000,1000,0,0.966
0.0,0.5,0.7853981633974483,50.0,0.0,1000,1000,0,0.936
0.0,0.5,0.7853981633974483,50.0,10.0,1000,1000,0,0.971
0.0,0.5,0.7853981633974483,50.0,25.0,1000,1000,0,0.997
0.4,0.5,0.7853981633974483,-50.0,-25.0,1000,1000,0,0.995
0.4,0.5,0.7853981633974483,-50.0,-10.0,1000,1000,0,0.934
0.4,0.5,0.7853981633974483,-50.0,0.0,1000,1000,0,0.896
0.4,0.5,0.7853981633974483,-50.0,10.0,1000,1000,0,0.94
0.4,0.5,0.7853981633974483,-50.0,25.0,1000,1000,0,0.995
0.4,0.5,0.7853981633974483,-25.0,-25.0,1000,1000,0,0.999
0.4,0.5,0.7853981633974483,-25.0,-10.0,1000,1000,0,0.989
0.4,0.5,0.7853981633974483,-25.0,0.0,1000,1000,0,0.982
0.4,0.5,0.7853981633974483,-25.0,10.0,1000,1000,0,0.983
0.4,0.5,0.7853981633974483,-25.0,25.0,1000,1000,0,0.998
0.4,0.5,0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
0.4,0.5,0.7853981633974483,0.0,-10.0,1000,1000,0,1.0
0.4,0.5,0.7853981633974483,0.0,0.0,1000,1000,0,1.0
0.4,0.5,0.7853981633974483,0.0,10.0,1000,1000,0,1.0
0.4,0.5,0.7853981633974483,0.0,25.0,1000,1000,0,1.0
0.4,0.5,0.7853981633974483,25.0,-25.0,1000,1000,0,1.0
0.4,0.5,0.7853981633974483,25.0,-10.0,1000,1000,0,0.986
0.4,0.5,0.7853981633974483,25.0,0.0,1000,1000,0,0.988
0.4,0.5,0.7853981633974483,25.0,10.0,1000,1000,0,0.992
0.4,0.5,0.7853981633974483,25.0,25.0,1000,1000,0,0.999
0.4,0.5,0.7853981633974483,50.0,-25.0,1000,1000,0,0.998
0.4,0.5,0.7853981633974483,50.0,-10.0,1000,1000,0,0.973
0.4,0.5,0.7853981633974483,50.0,0.0,1000,1000,0,0.95
0.4,0.5,0.7853981633974483,50.0,10.0,1000,1000,0,0.97
0.4,0.5,0.7853981633974483,50.0,25.0,1000,1000,0,0.998
0.8,0.5,0.7853981633974483,-50.0,-25.0,1000,1000,0,0.996
0.8,0.5,0.7853981633974483,-50.0,-10.0,1000,1000,0,0.924
0.8,0.5,0.7853981633974483,-50.0,0.0,1000,1000,0,0.899
0.8,0.5,0.7853981633974483,-50.0,10.0,1000,1000,0,0.954
0.8,0.5,0.7853981633974483,-50.0,25.0,1000,1000,0,0.997
0.8,0.5,0.7853981633974483,-25.0,-25.0,1000,1000,0,0.998
0.8,0.5,0.7853981633974483,-25.0,-10.0,1000,1000,0,0.981
0.8,0.5,0.7853981633974483,-25.0,0.0,1000,1000,0,0.978
0.8,0.5,0.7853981633974483,-25.0,10.0,1000,1000,0,0.991
0.8,0.5,0.7853981633974483,-25.0,25.0,1000,1000,0,1.0
0.8,0.5,0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
0.8,0.5,0.7853981633974483,0.0,-10.0,1000,1000,0,1.0
0.8,0.5,0.7853981633974483,0.0,0.0,1000,1000,0,0.999
0.8,0.5,0.7853981633974483,0.0,10.0,1000,1000,0,0.999
0.8,0.5,0.7853981633974483,0.0,25.0,1000,1000,0,1.0
0.8,0.5,0.7853981633974483,25.0,-25.0,1000,1000,0,1.0
0.8,0.5,0.7853981633974483,25.0,-10.0,1000,1000,0,0.996
0.8,0.5,0.7853981633974483,25.0,0.0,1000,1000,0,0.988
0.8,0.5,0.7853981633974483,25.0,10.0,1000,1000,0,0.991
0.8,0.5,0.7853981633974483,25.0,25.0,1000,1000,0,0.998
0.8,0.5,0.7853981633974483,50.0,-25.0,1000,1000,0,0.995
0.8,0.5,0.7853981633974483,50.0,-10.0,1000,1000,0,0.956
0.8,0.5,0.7853981633974483,50.0,0.0,1000,1000,0,0.933
0.8,0.5,0.7853981633974483,50.0,10.0,1000,1000,0,0.961
0.8,0.5,0.7853981633974483,50.0,25.0,1000,1000,0,0.999
